train,stations
train_1,"[Weert, Roermond, Weert, Roermond, Sittard, Heerlen, Sittard, Roermond, Sittard, Roermond, Sittard, Roermond, Weert]"
train_2,"[Helmond, Eindhoven, Helmond, Venlo, Helmond, Venlo, Helmond, Eindhoven, Helmond]"
train_3,"[Oss, Nijmegen, Oss, s-Hertogenbosch, Tilburg, s-Hertogenbosch, Eindhoven, Helmond, Eindhoven, Helmond, Eindhoven, Helmond, Venlo]"
train_4,"[Alkmaar, Castricum, Beverwijk, Zaandam, Castricum, Beverwijk, Castricum, Alkmaar, Castricum, Zaandam, Hoorn, Alkmaar, Castricum]"
train_5,"[Den Helder, Alkmaar, Den Helder, Alkmaar, Den Helder]"
train_6,"[Heerenveen, Leeuwarden, Heerenveen, Steenwijk, Zwolle, Deventer, Apeldoorn, Deventer, Zwolle]"
train_7,"[Oss, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Dieren, Arnhem Centraal, Nijmegen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen]"
train_8,"[Zwolle, Assen, Groningen, Leeuwarden, Groningen, Leeuwarden, Heerenveen]"
train_9,"[Steenwijk, Zwolle, Assen, Zwolle, Deventer, Zutphen, Deventer, Apeldoorn, Deventer]"
train_10,"[Ede-Wageningen, Utrecht Centraal, Amersfoort, Zwolle, Almelo, Zwolle]"
train_11,"[Maastricht, Sittard, Heerlen, Sittard, Roermond, Weert, Eindhoven, s-Hertogenbosch, Eindhoven, s-Hertogenbosch, Tilburg, s-Hertogenbosch]"
train_12,"[Roermond, Weert, Eindhoven, s-Hertogenbosch, Oss, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Utrecht Centraal]"
train_13,"[Venlo, Helmond, Eindhoven, Weert, Eindhoven, Weert, Roermond, Sittard, Heerlen, Sittard, Heerlen, Sittard]"
train_14,"[Hoorn, Alkmaar, Hoorn, Alkmaar, Hoorn, Alkmaar, Den Helder]"
train_15,"[Sittard, Maastricht, Sittard, Maastricht, Sittard, Roermond, Weert, Eindhoven, Tilburg, s-Hertogenbosch, Eindhoven, Weert]"
train_16,"[Sittard, Roermond, Weert, Roermond, Weert, Eindhoven, Weert, Roermond, Weert, Roermond, Weert, Roermond, Sittard]"
train_17,"[Weert, Roermond, Sittard, Maastricht, Sittard, Heerlen, Sittard, Roermond, Sittard, Heerlen, Sittard, Heerlen, Sittard]"
train_18,"[Beverwijk, Zaandam, Hoorn, Zaandam, Castricum, Alkmaar, Den Helder, Alkmaar]"
train_19,"[Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Castricum, Zaandam, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal]"
train_20,"[Zutphen, Deventer, Apeldoorn, Deventer, Zwolle, Assen, Zwolle, Deventer]"
score,-253.4606741573034
